GameWorks,36.06825852,-115.1788768,3
Subway,36.1128952,-115.0623534,3
Christy Candy Shop,36.124902,-115.13471,3
Bayside Buffet at Mandalay Bay,36.09121926,-115.1758039,3
Roxy's Diner,36.14770952,-115.1552059,3
Five Star Tavern,36.1590151,-115.0850773,3
Sushi Loca,36.14504941,-115.3328245,3
Tilted Kilt Pub & Eatery,36.11738432,-115.1703222,3
Panda Express,36.1739844,-115.0797206,3
Hot Dog on a Stick,36.1725319,-115.197258,3
Tequila Taqueria,36.11386,-115.168798,3
Krispy Kreme Doughnuts,36.12529103,-115.2457504,3
Pho Thai Binh,36.1263001,-115.2037174,3
Taco Bell,36.195937,-115.227792,3
Cicis,36.16691273,-115.063594,3
China Star,36.1586341,-115.2030893,3
Subway,36.1973681,-115.2578289,3
Slices Pizzeria,36.1337103,-115.0850568,3
Claim Jumper,36.15862089,-115.2909366,3
Wienerschnitzel,36.15926408,-115.077969,3
Silk Road Asian Bistro,36.1362575,-115.1512526,3
Max's Restaurant,36.114859,-115.136639,3
Denny's,36.01982066,-115.118058,3
Roberto's Taco Shop,36.0724028,-115.101393,3
Cravings Buffet,36.121237,-115.174105,3
Subway,36.17122232,-115.2051131,3
Mizuya,36.091869,-115.175256,3
McDonald's,36.0649678,-115.2488196,3
Pupusería El Zunzal,36.1969016,-115.2062221,3
Chow Time,36.1954258,-115.2549386,3
Firelight Buffet,36.1128082,-115.0622887,3
Teriyaki Madness,36.10753322,-115.1530606,3
Chicken Now Venetian,36.1214517,-115.1696112,3
Carl's Jr,36.1891373,-115.2596473,3
Chili's,36.198756,-115.2425637,3
Del Taco,36.2400326,-115.0614211,3
Original Tommy's,36.10883583,-115.0613113,3
Manhattan Pizza IV,36.2322239,-115.2509803,3
Del Taco,36.1585667,-115.1247518,3
Taco Bell,36.24042,-115.233322,3
Subway,35.9974897,-115.2056326,3
Subway,36.1721756,-115.1468294,3
Food Express,36.1427819,-115.1747468,3
Sports Deli,36.11680172,-115.1885337,3
Cafe Rio,36.14517489,-115.1759789,3
Del Taco,36.10208156,-115.0531421,3
Westin Las Vegas Hotel & Spa,36.115198,-115.165729,3
Golden Corral,36.155011,-115.082821,3
Domino's Pizza,36.09964574,-115.2998999,3
MGM Grand Hotel,36.1022507,-115.1699679,3
Tacos Mexico,36.1500208,-115.1537167,3
Subway,36.1906225,-115.2588414,3
America,36.102003,-115.175161,3
Taco Maker,36.12768339,-115.1690246,3
White Castle,36.12081673,-115.172051,3
Chipotle Mexican Grill,36.12132924,-115.1685001,3
Cracker Barrel Old Country Store,36.0379386,-115.1818561,3
Denny's,36.05912332,-115.1718664,3
Avenue Cafe,36.103399,-115.169402,3
Dairy Queen,36.23398748,-115.2506138,3
El Super,36.15787752,-115.0818224,3
Mah Jong,36.1164467,-115.1848942,3
Goldilocks,36.138855,-115.13789,3
Cafe Derbi,36.1154382,-115.2221626,3
Johnny Rockets,36.0414,-115.184424,3
Ciao Pizzeria,36.0992774,-115.1000454,3
Ristorante Italiano,36.1354133,-115.1600836,3
Antojitos Estilo Michoacan,36.188247,-115.0908137,3
PT's,36.14495492,-115.2046129,3
Wendy's,36.08481209,-115.151201,3
Stacks & Yolks,36.2170133,-115.2255824,3
Buffalo Wild Wings,36.28123174,-115.2861511,3
Pizzeria,36.137457,-115.164796,3
IHOP,36.1231734,-115.2436302,3
Pho Da Nang Vietnamese Kitchen,36.11549,-115.1891,3
Ciao Ciao Cafe & Bar,36.11877015,-115.176731,3
Don Chuy Mexican Grill,36.060423,-115.224332,3
Seabreeze Cafe,36.090754,-115.1766701,3
Farmer Boys,36.0615179,-115.2424786,3
Del Taco,36.1585619,-115.1657933,3
Nathan's Famous,36.095424,-115.175922,3
Rosati's Pizza,36.21875882,-115.314123,3
Carl's Jr.,36.055891,-115.280423,3
Arby's,36.19485019,-115.2466244,3
Del Taco,36.2400085,-115.0614018,3
Kerry's Sports Pub Pizza & Grill,36.2234468,-115.2173307,3
Johnny Rockets,36.115652,-115.172511,3
Taqueria El Buen Pastor,36.1697307,-115.2055056,3
Poukei,36.1107901,-115.1714113,3
Wendy's,36.056,-115.118716,3
Burger King,36.04761056,-115.1717244,3
Dumpling And Noodle House,36.10760017,-115.1716613,3
Golden China Chinese Cuisine,36.1170214,-115.0904787,3
Subway,36.2912061,-115.315539,3
Chipotle Mexican Grill,36.08541829,-115.1194384,3
Las Islitas,36.1812782,-115.0994456,3
Jack in the Box,36.08477976,-115.0315822,3
Panda Express,36.1584067,-115.2053419,3
LA Subs & Salads,36.116349,-115.172121,3
Subway,36.2017936,-115.2819809,3
PT's Gold,36.0142033,-115.2070681,3
Olocuilta Restaurant,36.1588442,-115.1259392,3
G G Santi II,36.1220839,-115.1680316,3
IHOP,36.1155292,-115.0684871,3
Samurai Sam's,36.113711,-115.307527,3
McDonald's,36.1252802,-115.2223961,3
Center Cut Steakhouse,36.11643684,-115.1721598,3
Subway,36.1433102,-115.2253441,3
Panda Express,36.1253148,-115.2463595,3
All-American Bar & Grille,36.117207,-115.188261,3
Jack In the Box,36.041506,-115.189211,3
Villa Fresh Italian Kitchen,36.08316031,-115.1452478,3
Grape Street Cafe & Wine Bar,36.14897962,-115.332966,3
Del Taco,36.0577755,-115.243734,3
Riva by Wolfgang Puck,36.12266174,-115.1701936,3
Cicis,36.21514769,-115.2427679,3
Jack in the Box,36.2381728,-115.2502154,3
Mrs Geez Southern Home Cooking,36.1429701,-115.20935,3
Jack In the Box,36.1964629,-115.2603772,3
Chipotle Mexican Grill,36.09899906,-115.2961846,3
El Pollo Loco,36.0138196,-115.1536846,3
Five Star Tavern,36.2037503,-115.242497,3
Sterling Spoon Cafe,36.1139489,-115.1523393,3
Taco Bell,36.05590834,-115.2779294,3
Nathan's Famous,36.1022287,-115.1745851,3
Samurai Sam's,36.0512304,-115.1714179,3
Crepes N' Tacos Mexican Grill,36.16473501,-115.0607505,3
New York Chinese Restaurant,36.2067845,-115.3023741,3
Dragon's Alley,36.14408998,-115.1607798,3
Village Pub & Grill,36.08569903,-115.1395432,3
El Buen Gusto,36.1883174,-115.1161999,3
Cafe Vetro,36.1092406,-115.1784884,3
Napoli Pizzeria,36.1462948,-115.2072085,3
McDonald's,36.272595,-115.2684226,3
Capriotti's Sandwich Shop,36.29616089,-115.2885766,3
Rendezvous Wine & Dine,36.14266339,-115.2094891,3
Lanai Express,36.1710681,-115.1431353,3
Jimmy John's,36.0991195,-115.2999582,3
Palermo's Pizza,36.1154564,-115.1335869,3
Italia Express,36.1643156,-115.1574463,3
Daddy's Delights,36.1479553,-115.1645721,3
PT's,36.1194254,-115.2798389,3
